"""Institution""",State,HD2022.Level of institution,HD2022.Control of institution,SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,DRVADM2022.Percent admitted - total,SAT Composite 25th percentile score,SAT Composite 50th percentile score,SAT Composite 75th Percentile Score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,national.html,artsandhumanities.html,businessandeconomics.html,clinicalandhealth.html,computerscience.html,education.html,engineering.html,law.html,lifesciences.html,physicalsciences.html,psychology.html,socialsciences.html,
"""Texas Health School""",Texas,Less than 2 years (below associate),Private for-profit,66,29875,30487,27799,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Logan""",Utah,Less than 2 years (below associate),Private for-profit,81,8572,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Careers Unlimited""",Utah,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mountainland Technical College""",Utah,Less than 2 years (below associate),Public,58,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Avi Career Training""",Virginia,Less than 2 years (below associate),Private for-profit,82,16665,16765,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mountain State School of Massage""",West Virginia,Less than 2 years (below associate),Private for-profit,100,23990,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arkansas State University System""",Arkansas,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eastern International College-Belleville""",New Jersey,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Joaquin Valley College-Rancho Cordova""",California,At least 2 but less than 4 years,Private for-profit,94,22808,25154,22623,0,26953,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Joaquin Valley College-Central Administrative Office""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Broken Arrow Beauty College""",Oklahoma,Less than 2 years (below associate),Private for-profit,60,11065,8178,15875,16838,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Universal Technical Institute of Northern California Inc""",California,At least 2 but less than 4 years,Private for-profit,94,23307,23124,25943,29335,29804,,,,0,0,0,,,,,,,,,,,,,,,,
"""West Hills College-Lemoore""",California,At least 2 but less than 4 years,Public,99,8826,9831,11528,14613,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Stautzenberger College-Brecksville""",Ohio,At least 2 but less than 4 years,Private for-profit,96,21969,23472,26788,26881,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Stone Academy-East Hartford""",Connecticut,At least 2 but less than 4 years,Private for-profit,86,16422,21267,21661,23225,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""West Hills Community College District""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Unitech Training Academy-Houma""",Louisiana,Less than 2 years (below associate),Private for-profit,79,21175,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Rasmussen University-Illinois""",Illinois,Four or more years,Private for-profit,96,17813,18951,17722,22724,18601,,,,0,0,0,,,,,,,,,,,,,,,,
"""International Institute for Restorative Practices""",Pennsylvania,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Automotive Training Center-Warminster""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,98,12969,12165,15910,18941,19545,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Milwaukee""",Wisconsin,Less than 2 years (below associate),Private for-profit,71,15873,15843,18405,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Triangle Tech Inc-Bethlehem""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,100,20192,22200,28215,26215,27885,,,,0,0,0,,,,,,,,,,,,,,,,
"""Milan Institute-Clovis""",California,Less than 2 years (below associate),Private for-profit,89,21277,21488,22698,24292,25313,,,,0,0,0,,,,,,,,,,,,,,,,
"""Strayer University-Florida""",Florida,Four or more years,Private for-profit,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pima Medical Institute-Renton""",Washington,At least 2 but less than 4 years,Private for-profit,76,29816,30532,31230,33153,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CBT Technology Institute-Main Campus""",Florida,At least 2 but less than 4 years,Private for-profit,100,12608,12856,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CBT Technology Institute-Hialeah""",Florida,At least 2 but less than 4 years,Private for-profit,100,11577,12147,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""The College of Health Care Professions-San Antonio""",Texas,At least 2 but less than 4 years,Private for-profit,75,26707,26532,28182,30767,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Brittany Beauty Academy""",New York,Less than 2 years (below associate),Private for-profit,100,21517,21374,22274,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lincoln Technical Institute-Whitestone""",New York,Less than 2 years (below associate),Private for-profit,92,32400,32454,33975,37508,38287,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Public University System""",West Virginia,Four or more years,Private for-profit,88,9844,10556,10875,12502,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Huntsville Bible College""",Alabama,Four or more years,Private not-for-profit,100,11831,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Beaumont Adult School""",California,Less than 2 years (below associate),Public,100,28825,0,28141,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Gnomon""",California,Four or more years,Private for-profit,67,48241,44424,44074,51294,51294,,,49,0,0,0,,,,,,,,,,,,,,,,
"""Coachella Valley Beauty College""",California,Less than 2 years (below associate),Private for-profit,77,17009,17184,20226,23504,20931,,,,0,0,0,,,,,,,,,,,,,,,,
"""Valley College of Medical Careers""",California,At least 2 but less than 4 years,Private for-profit,93,24588,26362,28628,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Natural Therapy Inc""",Colorado,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy Di Capelli-School of Cosmetology""",Connecticut,Less than 2 years (below associate),Private for-profit,89,15754,15754,15754,15756,15754,,,,0,0,0,,,,,,,,,,,,,,,,
"""Delaware Learning Institute of Cosmetology""",Delaware,Less than 2 years (below associate),Private for-profit,50,14969,17236,19166,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dragon Rises College of Oriental Medicine""",Florida,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Palm Beach Academy of Health & Beauty""",Florida,Less than 2 years (below associate),Private for-profit,93,28994,30027,30248,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""SABER College""",Florida,At least 2 but less than 4 years,Private not-for-profit,100,17564,19833,0,0,0,,,69,0,0,0,,,,,,,,,,,,,,,,
"""Taylor College""",Florida,At least 2 but less than 4 years,Private for-profit,100,23672,19741,27817,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pensacola School of Massage Therapy & Health Careers""",Florida,Less than 2 years (below associate),Private for-profit,97,18463,21529,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ideal Beauty Academy""",Indiana,Less than 2 years (below associate),Private for-profit,67,12405,0,18278,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Denmark College""",Indiana,Less than 2 years (below associate),Private for-profit,97,15010,15362,19552,0,20938,,,,0,0,0,,,,,,,,,,,,,,,,
"""Louisiana Culinary Institute""",Louisiana,At least 2 but less than 4 years,Private for-profit,100,22126,25544,28503,23400,27710,,,50,0,0,0,,,,,,,,,,,,,,,,
"""Bais Medrash Toras Chesed""",New Jersey,Four or more years,Private not-for-profit,57,1077,0,5088,0,0,13700,13700,71,0,0,0,,,,,,,,,,,,,,,,
"""Ace Institute of Technology""",New York,At least 2 but less than 4 years,Private for-profit,73,29285,29498,30146,35141,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""New Age Training""",New York,Less than 2 years (below associate),Private for-profit,91,21106,22330,24030,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dayton School of Medical Massage""",Ohio,Less than 2 years (below associate),Private for-profit,97,30403,30546,30564,30766,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Northcoast Medical Training Academy""",Ohio,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""ATA College""",Oklahoma,At least 2 but less than 4 years,Private for-profit,80,20746,0,21530,25131,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Visible Music College""",Tennessee,Four or more years,Private not-for-profit,86,23485,23028,31386,22925,28011,38433,38433,20,0,0,0,17,22,30,,,,,,,,,,,,,
"""CCI Training Center-Arlington""",Texas,Less than 2 years (below associate),Private for-profit,98,12804,14702,11215,16115,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Champion Beauty College""",Texas,Less than 2 years (below associate),Private for-profit,100,16968,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southeast Texas Career Institute""",Texas,Less than 2 years (below associate),Private for-profit,93,15743,18576,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southwest Technical College""",Utah,Less than 2 years (below associate),Public,72,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Virginia Beach Theological Seminary""",Virginia,Four or more years,Private not-for-profit,,0,0,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Milwaukee Career College""",Wisconsin,At least 2 but less than 4 years,Private for-profit,92,21671,23095,26021,26321,0,,,58,0,0,0,,,,,,,,,,,,,,,,
"""University of the West""",California,Four or more years,Private not-for-profit,80,14323,20286,0,0,0,28278,28278,78,0,0,0,,,,,,,,,,,,,,,,
"""American College of Education""",Indiana,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""South University-Tampa""",Florida,Four or more years,Private for-profit,100,21995,22703,0,22644,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Milan Institute of Cosmetology-San Antonio Military""",Texas,Less than 2 years (below associate),Private for-profit,97,19545,19766,20933,21332,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Appalachian College of Pharmacy""",Virginia,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Tampa""",Florida,Less than 2 years (below associate),Private for-profit,84,17738,18942,20932,21582,23055,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-San Diego""",California,Less than 2 years (below associate),Private for-profit,89,28925,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Michigan""",Michigan,Less than 2 years (below associate),Private for-profit,83,14402,15419,18524,0,20897,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Sherman Oaks""",California,Less than 2 years (below associate),Private for-profit,86,19468,19398,23645,0,25618,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Tysons Corner""",Virginia,Less than 2 years (below associate),Private for-profit,89,18957,19197,21846,0,24867,,,,0,0,0,,,,,,,,,,,,,,,,
"""Blue Cliff College-Houma""",Louisiana,Less than 2 years (below associate),Private for-profit,88,26270,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fortis College-Columbus""",Ohio,At least 2 but less than 4 years,Private for-profit,98,24107,24419,25741,29224,29921,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fortis College-Cincinnati""",Ohio,At least 2 but less than 4 years,Private for-profit,98,29923,29799,29560,35130,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Blue Cliff College-Fayetteville""",Arkansas,Less than 2 years (below associate),Private for-profit,100,29372,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Blue Cliff College-Alexandria""",Louisiana,At least 2 but less than 4 years,Private for-profit,96,25022,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Strayer University-Delaware""",Delaware,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Brite Divinity School""",Texas,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Strayer University-Alabama""",Alabama,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Brown Aveda Institute-Strongsville""",Ohio,At least 2 but less than 4 years,Private for-profit,80,15972,16705,18922,0,22467,,,,0,0,0,,,,,,,,,,,,,,,,
"""Clary Sage College""",Oklahoma,At least 2 but less than 4 years,Private not-for-profit,79,20602,22108,21894,22672,19281,,,,0,0,0,,,,,,,,,,,,,,,,
"""Rasmussen University-Wisconsin""",Wisconsin,Four or more years,Private for-profit,100,20515,18708,24586,25831,16912,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Richmond""",Virginia,Less than 2 years (below associate),Private for-profit,74,15804,14711,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-North Hills""",Pennsylvania,Less than 2 years (below associate),Private for-profit,94,16046,16308,17441,21519,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Concord""",North Carolina,Less than 2 years (below associate),Private for-profit,83,15196,15026,16421,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lexington Healing Arts Academy""",Kentucky,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Hooksett""",New Hampshire,Less than 2 years (below associate),Private for-profit,97,7825,7186,9952,13710,12287,,,,0,0,0,,,,,,,,,,,,,,,,
"""The Institute of Beauty and Wellness""",Wisconsin,Less than 2 years (below associate),Private for-profit,77,8156,9101,12194,16370,16806,,,,0,0,0,,,,,,,,,,,,,,,,
"""Carrington College-Stockton""",California,At least 2 but less than 4 years,Private for-profit,90,30359,31011,33314,34893,35005,,,,0,0,0,,,,,,,,,,,,,,,,
"""Carrington College-Citrus Heights""",California,At least 2 but less than 4 years,Private for-profit,76,31248,31222,33202,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Trend Barber College""",Texas,Less than 2 years (below associate),Private for-profit,79,17060,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Euphoria Institute of Beauty Arts & Sciences-Summerlin""",Nevada,Less than 2 years (below associate),Private for-profit,84,35161,35861,37144,38003,38420,,,,0,0,0,,,,,,,,,,,,,,,,
"""Columbia Southern University""",Alabama,Four or more years,Private for-profit,42,11883,11793,13522,12881,15942,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arizona Culinary Institute""",Arizona,Less than 2 years (below associate),Private for-profit,80,33945,36635,34837,39050,40719,,,,0,0,0,,,,,,,,,,,,,,,,
"""Healthcare Career College""",California,At least 2 but less than 4 years,Private for-profit,70,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Coastline Beauty College""",California,Less than 2 years (below associate),Private for-profit,82,14586,14686,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Branford Academy of Hair and Cosmetology""",Connecticut,Less than 2 years (below associate),Private for-profit,100,7008,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Massage and Bodywork""",Delaware,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy for Five Element Acupuncture""",Florida,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Career Training""",Florida,Less than 2 years (below associate),Private for-profit,100,1091,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Miami Regional University""",Florida,Four or more years,Private for-profit,89,30785,32363,33256,34081,34081,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Miami""",Florida,Less than 2 years (below associate),Private for-profit,86,17277,16628,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Aveda Institute-South Florida""",Florida,Less than 2 years (below associate),Private for-profit,96,27940,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Aveda Institute-Tallahassee""",Florida,Less than 2 years (below associate),Private for-profit,94,24689,25265,25959,26359,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Shear Excellence Hair Academy""",Florida,Less than 2 years (below associate),Private for-profit,100,19487,21111,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Carlson College of Massage Therapy""",Iowa,Less than 2 years (below associate),Private for-profit,100,12092,14388,0,16415,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""MyComputerCareer at Indianapolis""",Indiana,At least 2 but less than 4 years,Private for-profit,98,24801,25673,25806,26300,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Z Hair Academy""",Kansas,Less than 2 years (below associate),Private for-profit,72,12802,12112,13344,16037,16778,,,,0,0,0,,,,,,,,,,,,,,,,
"""DiGrigoli School of Cosmetology""",Massachusetts,Less than 2 years (below associate),Private for-profit,82,20487,19692,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Millennium Training Institute""",Massachusetts,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Elevate Salon Institute""",Michigan,Less than 2 years (below associate),Private for-profit,83,15365,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lakewood School of Therapeutic Massage""",Michigan,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""The Salon Professional Academy-Battle Creek""",Michigan,Less than 2 years (below associate),Private for-profit,100,18048,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Trend Setters School""",Missouri,Less than 2 years (below associate),Private for-profit,95,10362,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Hair Design-Springfield""",Missouri,Less than 2 years (below associate),Private for-profit,67,20235,22966,0,24329,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Corinth Academy of Cosmetology""",Mississippi,Less than 2 years (below associate),Private for-profit,84,24035,25363,0,30508,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southeastern College-Charlotte""",North Carolina,At least 2 but less than 4 years,Private for-profit,95,33451,34985,37132,38110,38510,,,90,0,0,0,,,,,,,,,,,,,,,,
"""Yeshivas Be'er Yitzchok""",New Jersey,Four or more years,Private not-for-profit,100,0,17900,16900,15074,0,20850,20850,89,0,0,0,,,,,,,,,,,,,,,,
"""Yeshiva Toras Chaim""",New Jersey,Four or more years,Private not-for-profit,98,4849,7165,4085,9247,6294,22150,22150,59,0,0,0,,,,,,,,,,,,,,,,
"""Talmudical Seminary of Bobov""",New York,Four or more years,Private not-for-profit,95,2510,2482,2469,1975,0,20100,20100,92,0,0,0,,,,,,,,,,,,,,,,
"""Center for Allied Health Education""",New York,At least 2 but less than 4 years,Private for-profit,13,43785,0,0,0,0,,,28,0,0,0,,,,,,,,,,,,,,,,
"""Monroe 2 Orleans BOCES-Center for Workforce Development""",New York,Less than 2 years (below associate),Public,100,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Aveda Fredric's Institute-Cincinnati""",Ohio,Less than 2 years (below associate),Private for-profit,86,24865,25793,27154,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""MyComputerCareer at Columbus""",Ohio,At least 2 but less than 4 years,Private for-profit,91,23064,24447,25099,27052,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CDE Career Institute""",Pennsylvania,Less than 2 years (below associate),Private for-profit,98,31615,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Charleston School of Law""",South Carolina,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Elite College of Cosmetology""",Tennessee,Less than 2 years (below associate),Private for-profit,100,9842,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Manuel and Theresa's School of Hair Design-Bryan""",Texas,Less than 2 years (below associate),Private for-profit,100,11706,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southwest University at El Paso""",Texas,Four or more years,Private for-profit,94,18054,18844,17496,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Austin""",Texas,Less than 2 years (below associate),Private for-profit,78,21468,21123,24123,22373,26518,,,,0,0,0,,,,,,,,,,,,,,,,
"""Aveda Institute-Provo""",Utah,Less than 2 years (below associate),Private for-profit,66,10510,10930,12055,16326,16008,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dixie Technical College""",Utah,Less than 2 years (below associate),Public,77,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Victoria's Academy of Cosmetology""",Washington,Less than 2 years (below associate),Private for-profit,91,16825,22492,24035,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-San Antonio""",Texas,Less than 2 years (below associate),Private for-profit,92,20691,21417,24520,25289,26612,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bryant & Stratton College-Wauwatosa""",Wisconsin,Four or more years,Private not-for-profit,95,14164,21161,18071,16720,15231,,,,0,0,0,,,,,,,,,,,,,,,,
