Institution,State,IC2022.Typical room charge for academic year,IC2022.Typical board charge for academic year,IC2022.Combined charge for room and board,DRVEF2022.Percent of first-time undergraduates - in-state,DRVEF2022.Percent of first-time undergraduates - out-of-state,DRVEF2022.Percent of first-time undergraduates - foreign countries,"SFA2122.Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVADM2022.Percent admitted - total,DRVADM2022.Admissions yield - total,"DRVIC2022.Tuition and fees, 2022-23",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,HD2022.Sector of institution,HD2022.Level of institution,HD2022.Control of institution,DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native,DRVEF2022.Percent of total enrollment that are Asian,DRVEF2022.Percent of total enrollment that are Black or African American,DRVEF2022.Percent of total enrollment that are Hispanic/Latino,DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,DRVEF2022.Percent of total enrollment that are White,DRVEF2022.Percent of total enrollment that are U.S. Nonresident,DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,"DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident",SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average amount of federal, state, local or institutional grant aid awarded",ADM2022.SAT Evidence-Based Reading and Writing 25th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 50th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 75th percentile score,ADM2022.SAT Math 25th percentile score,ADM2022.SAT Math 50th percentile score,ADM2022.SAT Math 75th percentile score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,ADM2022.ACT English 25th percentile score,ADM2022.ACT English 50th percentile score,ADM2022.ACT English 75th percentile score,ADM2022.ACT Math 25th percentile score,ADM2022.ACT Math 50th percentile score,ADM2022.ACT Math 75th percentile score
Fortis College-Baton Rouge,Louisiana,,,,98,2,0,84,,,,,,,26225,26187,27425,26875,,,,,15881,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,2,83,2,0,12,0,2,42,50,,,,40,50,48,,100,5859,,,,,,,,,,,,,,,
My Le's Beauty College,California,,,,100,0,0,19,,,,,,,,,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,84,4,8,0,3,0,84,87,,,,,,,,,19,4283,,,,,,,,,,,,,,,
New Concept Massage and Beauty School,Florida,,,,92,0,0,88,,,,,,,12919,12918,12919,12919,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,0,100,0,0,0,0,92,,,,,,,,,90,4600,,,,,,,,,,,,,,,
New York College of Traditional Chinese Medicine,New York,,,,,,,24,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,78,1,3,0,6,8,78,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortis College-Orange Park,Florida,,,,97,3,0,92,,,,,,,22991,23147,21845,27360,28708,28708,,,14115,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,1,2,55,8,0,29,0,3,61,,100,100,,46,86,72,,100,6032,,,,,,,,,,,,,,,
Northeastern Seminary,New York,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,31,7,1,56,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega Institute of Cosmetology,Louisiana,,,,100,0,0,59,,,,,,,8214,6363,7725,,14220,13293,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,6,2,2,2,0,87,0,2,86,,,,,,,,,76,5329,,,,,,,,,,,,,,,
PCI College,California,,,,100,0,0,71,,,,,,,22887,23042,24241,23417,26842,24342,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,2,11,1,79,1,7,0,12,83,,,,,67,85,100,,100,6228,,,,,,,,,,,,,,,
Rosedale Bible College,Ohio,,,5750,39,58,3,86,,,,,,,9017,3196,4425,8110,13736,,,,9418,19718,19718,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,0,1,5,0,89,4,0,53,,,,,,,53,100,100,10401,,,,,,,,,,,,,,,
Seattle Institute of East Asian Medicine,Washington,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,18,6,6,3,61,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawnee Beauty College,Oklahoma,,,,100,0,0,100,,,,,,,7924,7359,10030,10909,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,16,0,14,0,0,70,0,0,90,,,,,,,,,100,4485,,,,,,,,,,,,,,,
Acupuncture and Massage College,Florida,,,,100,0,0,70,,,,,,,34163,33958,35915,,,,,,11843,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,1,5,13,56,0,22,2,5,67,,100,100,,100,57,100,0,88,3710,,,,,,,,,,,,,,,
Upper Valley Educators Institute,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,0,3,0,91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Keck Graduate Institute,California,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,33,7,16,0,21,12,33,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation Institute of Maintenance-Atlanta,Georgia,,,,98,2,0,58,,,,,,,22811,22964,24955,24788,27305,28698,,,16657,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,4,49,13,0,19,3,4,52,,78,100,0,37,40,80,,89,5664,,,,,,,,,,,,,,,
Empire Beauty School-Kennesaw,Georgia,,,,100,0,0,58,,,,,,,16614,16056,16892,21193,21193,21193,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,3,45,5,0,14,0,3,38,,,,,,,,,95,5142,,,,,,,,,,,,,,,
Antioch University-System Administration,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Unit,Four or more years,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntingdon County Career and Technology Center,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri College of Cosmetology North,Missouri,,,,,,,51,,,,,,,8440,8703,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,,,,,,,,,63,,,,,,,,,71,4927,,,,,,,,,,,,,,,
New York Automotive and Diesel Institute,New York,,,,100,0,0,88,,,,,,,28573,26839,29154,31630,33475,32875,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,3,10,36,34,0,5,1,10,60,100,65,61,100,57,66,64,,100,6594,,,,,,,,,,,,,,,
Remington College-Baton Rouge Campus,Louisiana,,,,97,3,0,99,,,,,,,27917,27812,30178,31555,,,,,14968,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,1,91,2,0,5,0,1,32,,,,,31,0,45,,100,5217,,,,,,,,,,,,,,,
New Saint Andrews College,Idaho,,,,43,56,1,72,,,,,,,15053,,,,,,83,69,14500,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,1,4,0,67,2,2,82,,100,100,,,,100,50,81,3947,600,660,680,540,600,640,24,28,31,23,28,35,22,25,28
Arkansas State University-Newport,Arkansas,,,,99,1,0,99,9631,8595,9395,10727,12540,14338,,,,,,,,,2952,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,18,5,0,73,0,1,47,50,,,,30,0,55,50,100,5324,,,,,,,,,,,,,,,
Onondaga Cortland Madison BOCES,New York,,,,100,0,0,89,12892,9355,10795,14090,17498,19773,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,1,3,38,3,0,51,0,3,83,,,,,,,,,100,8285,,,,,,,,,,,,,,,
National American University-Ellsworth,South Dakota,,,,100,0,0,28,,,,,,,,,,,,,,,6675,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,3,2,7,5,3,59,0,5,17,,,,,0,,25,,,,,,,,,,,,,,,,,,
Interactive College of Technology,Texas,,,,100,0,0,79,,,,,,,12818,12863,,,12321,,,,10610,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,2,20,51,0,27,0,2,50,,,,,50,60,20,,75,7003,,,,,,,,,,,,,,,
Pillar College,New Jersey,,,,75,25,0,90,,,,,,,21641,23591,28152,21335,,,,,23668,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,19,41,0,15,21,1,44,,,,,0,50,,,91,13603,,,,,,,,,,,,,,,
Miami Ad School-San Francisco,California,,,,100,0,0,17,,,,,,,,,,,,,,,19400,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,17,8,0,0,75,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon State University-Cascades Campus,Oregon,8640,5190,,78,22,0,61,18129,10036,14252,14124,16058,21798,,,,,,,79,11,11628,29307,50442,"Public, 4-year or above",Four or more years,Public,1,3,1,10,0,75,1,3,58,0,100,100,,,0,62,,90,9232,,,,,,,,,,,,,,,
Milan Institute-Amarillo,Texas,,,,98,2,0,77,,,,,,,25964,25533,26109,27760,31632,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,13,51,0,28,1,0,60,,,,,,,,,80,6026,,,,,,,,,,,,,,,
Southern University Law Center,Louisiana,,,,67,33,0,,,,,,,,,,,,,,,,,,,"Public, 4-year or above",Four or more years,Public,0,2,87,2,0,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Barber College,Texas,,,,100,0,0,77,,,,,,,15208,15297,17273,15816,20682,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,75,21,0,2,0,1,20,,,,,,,,,93,5867,,,,,,,,,,,,,,,
Miller-Motte College-Charleston,South Carolina,,,,100,0,0,74,,,,,,,2767,,,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,1,75,6,0,15,0,1,50,100,50,0,100,47,53,54,,57,5024,,,,,,,,,,,,,,,
American Career College-Anaheim,California,,,,100,0,0,72,,,,,,,26879,26806,27113,27972,30523,30690,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,1,22,5,58,1,9,0,23,65,0,73,68,100,50,66,58,,86,4711,,,,,,,,,,,,,,,
Saginaw Chippewa Tribal College,Michigan,,,,100,0,0,98,6995,8055,8589,,,,,,,,,,,,2210,,,"Public, 2-year",At least 2 but less than 4 years,Public,66,0,5,2,0,19,0,0,29,17,,,,,,,,100,4392,,,,,,,,,,,,,,,
Richmont Graduate University,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,11,2,0,84,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
The Seattle School of Theology & Psychology,Washington,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,4,6,1,79,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest College-Hillsboro,Oregon,,,,92,0,0,53,,,,,,,17445,19060,,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,4,0,0,42,0,38,0,0,54,100,,,,0,33,64,,57,4834,,,,,,,,,,,,,,,
East Valley Institute of Technology,Arizona,,,,100,0,0,28,,,,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,2,2,12,40,0,40,0,2,38,,,,,,,,,,,,,,,,,,,,,,,,,
Smith Chason College,California,,,,85,15,0,100,,,,,,,24180,23910,24495,26079,27988,29646,,,18820,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,1,7,8,44,2,24,0,9,65,,33,50,29,47,61,77,,99,4735,,,,,,,,,,,,,,,
Irell & Manella Graduate School of Biological Sciences at City of Hope,California,7920,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design's School of Cosmetology,California,,,,100,0,0,71,,,,,,,18978,20339,16367,20701,23858,23858,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,2,49,0,49,0,0,69,,,,,,,,,88,3921,,,,,,,,,,,,,,,
Ultimate Medical Academy,Florida,,,,10,90,0,78,,,,,,,18125,18134,18562,19774,21613,20968,,,,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,1,1,61,1,1,33,0,1,50,40,56,74,41,45,63,55,,82,6360,,,,,,,,,,,,,,,
Florida Barber Academy,Florida,,,,100,0,0,61,,,,,,,22657,22503,23581,,27272,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,66,27,0,3,1,2,67,,,,,,,,,47,4482,,,,,,,,,,,,,,,
M-DCPS The English Center,Florida,,,,100,0,0,93,2681,,,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,5,91,0,4,0,0,4,,,,,,,,,91,1595,,,,,,,,,,,,,,,
Florida Education Institute,Florida,,,,100,0,0,47,,,,,,,32478,32571,33595,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,2,98,0,0,0,0,81,,,,,67,82,,,97,4434,,,,,,,,,,,,,,,
Texas County Technical College,Missouri,,,,100,0,0,80,,,,,,,21257,21269,,22457,,,100,36,18240,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,1,1,0,85,0,0,38,,,,,,,38,,80,8638,,,,,,,,,,,,,,,
Aviation Institute of Maintenance-Kansas City,Missouri,,,,81,19,0,66,,,,,,,24347,23394,27874,28772,30239,30239,,,16757,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,2,22,10,0,57,0,2,48,,,,,25,75,50,,88,5849,,,,,,,,,,,,,,,
Blue Cliff College-Gulfport,Mississippi,,,,99,1,0,75,,,,,,,25997,26350,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,2,1,56,4,0,36,0,1,19,,,,,,,,,92,3670,,,,,,,,,,,,,,,
Institute for Therapeutic Massage,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Learning Institute,New York,,,,100,0,0,85,,,,,,,7256,8781,9428,12681,,,,,,,,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,0,79,1,20,0,0,0,79,71,,,,,,,,,100,7069,,,,,,,,,,,,,,,
Orleans Niagara BOCES-Practical Nursing Program,New York,,,,,,,67,17994,17376,17105,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,25,0,0,75,0,0,100,,,,,,,,,83,2835,,,,,,,,,,,,,,,
Yeshiva Shaarei Torah of Rockland,New York,,,4220,40,30,30,98,,,,,,,13353,7930,,,,,40,63,15775,24095,24095,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,0,0,0,92,8,0,,,,,,,,,,100,10217,,,,,,,,,,,,,,,
Leon Studio One School of Beauty Knowledge,New York,,,,100,0,0,81,,,,,,,24844,22698,22328,,28823,28823,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,22,6,0,72,0,0,80,,,,,,,,,83,6178,,,,,,,,,,,,,,,
American Institute of Alternative Medicine,Ohio,,,,100,0,0,87,,,,,,,27493,26461,28807,26329,30749,32391,77,28,15973,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,2,73,2,1,19,0,2,62,,,,,67,0,50,,90,5283,,,,,,,,,,,,,,,
Brown Aveda Institute-Mentor,Ohio,,,,100,0,0,54,,,,,,,15463,13335,14877,16627,19822,19822,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,28,4,0,65,0,0,73,,100,100,,75,,74,,89,3322,,,,,,,,,,,,,,,
Institute of Technology,Oregon,,,,92,8,0,53,,,,,,,40578,41188,42579,42672,44382,44605,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,1,1,4,23,0,51,0,1,73,,,,,,,,,92,4773,,,,,,,,,,,,,,,
Susquehanna County Career and Technology Center,Pennsylvania,,,,91,0,0,90,4295,3906,4406,4606,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,0,0,0,100,0,0,94,,,,,,,,,100,6111,,,,,,,,,,,,,,,
Concorde Career College-Grand Prairie,Texas,,,,99,0,0,85,,,,,,,25792,26161,25648,28286,28897,29812,100,78,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,1,1,30,17,0,6,0,1,49,0,60,60,,43,67,49,,95,4312,,,,,,,,,,,,,,,
Lamar Institute of Technology,Texas,,,,98,2,0,38,9346,7926,8521,9547,12421,13088,,,,,,,,,2844,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,3,30,24,0,38,0,3,27,75,26,26,,17,29,35,,69,4794,,,,,,,,,,,,,,,
Aviation Institute of Maintenance-Dallas,Texas,,,,98,2,0,58,,,,,,,23120,22667,24128,24727,28111,28111,,,16757,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,4,24,34,1,29,0,5,46,,40,40,,24,40,58,100,100,5590,,,,,,,,,,,,,,,
Healing Mountain Massage School,Utah,,,,82,18,0,57,,,,,,,22789,22394,22471,23116,26937,26937,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,0,20,2,78,0,2,63,,,,,,,,,100,4781,,,,,,,,,,,,,,,
Eastern Virginia Career College,Virginia,,,,93,7,0,47,,,,,,,,,,,,,56,100,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,3,36,6,0,45,0,4,94,,,,,91,82,97,,,,,,,,,,,,,,,,,,
"Rudy & Kelly Academy, A Paul Mitchell Partner School",Virginia,,,,100,0,0,49,,,,,,,19899,18418,19296,21711,24665,24665,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,28,4,1,60,0,2,53,,,,,,,,,87,5659,,,,,,,,,,,,,,,
Nevada State College,Nevada,,,,100,0,0,40,16624,11066,13105,15601,17370,20312,,,,,,,82,34,6225,,,"Public, 4-year or above",Four or more years,Public,0,12,8,39,1,17,0,13,32,33,8,5,33,20,34,40,,95,6696,,,,,,,,,,,,,,,
California State University-Channel Islands,California,9740,4920,,99,1,0,69,13540,9487,10331,13885,18958,22489,,,,,,,90,7,6817,28089,39969,"Public, 4-year or above",Four or more years,Public,0,7,2,59,0,24,2,7,57,0,52,53,0,28,54,64,48,76,9412,,,,,,,,,,,,,,,
Franklin W Olin College of Engineering,Massachusetts,,,18524,12,79,9,95,,,,,,,38502,1819,680,11292,26970,45759,19,45,60766,81486,81486,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,20,3,9,0,40,8,20,94,,86,86,,50,86,96,100,100,40522,720,740,770,770,780,790,35,35,35,35,35,36,34,35,36
Won Institute of Graduate Studies,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,9,4,11,0,67,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Technical Institute-Paramus,New Jersey,,,,82,18,0,68,,,,,,,38381,37295,38136,38388,41379,42028,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,5,41,31,0,8,0,5,50,,,,,,,,,91,4536,,,,,,,,,,,,,,,
Pima Medical Institute-Colorado Springs,Colorado,,,,99,1,0,53,,,,,,,21735,21884,24094,25177,25564,26326,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,2,5,28,1,48,0,3,61,100,100,100,,55,66,60,,76,4559,,,,,,,,,,,,,,,
Birthwise Midwifery School,Maine,,,,,,,,,,,,,,,,,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Mitchell the School-Costa Mesa,California,,,,92,8,0,52,,,,,,,9957,8458,9881,10144,13483,14157,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,7,3,44,0,40,0,7,73,,,,,,,,,89,4498,,,,,,,,,,,,,,,
Ave Maria School of Law,Florida,8755,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,4,9,0,77,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa Welding School-Jacksonville,Florida,,,,64,36,0,70,,,,,,,30835,30703,30794,32403,33065,34945,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,1,1,27,17,1,53,0,1,59,,,,,,,,,87,5860,,,,,,,,,,,,,,,
Pennsylvania College of Health Sciences,Pennsylvania,,,,98,2,0,75,,,,,,,33047,28074,32400,33544,37723,38413,46,36,30821,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,11,16,0,63,0,6,58,,0,0,,0,38,63,,89,6133,540,580,620,510,540,600,,,,,,,,,
West Virginia Junior College-Bridgeport,West Virginia,,,,97,3,0,95,,,,,,,15139,13039,15566,18514,19571,20386,,,14736,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,4,1,0,94,0,0,54,,,,,,,54,,100,7247,,,,,,,,,,,,,,,
St Louis College of Health Careers-Fenton,Missouri,,,,98,2,0,76,,,,,,,25404,25799,28456,26522,,,100,81,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,1,53,2,0,37,0,1,62,,50,50,,52,67,73,,100,4442,,,,,,,,,,,,,,,
Interactive College of Technology-Gainesville,Georgia,,,,100,0,0,81,,,,,,,12341,12341,,,,,,,10850,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,11,23,54,0,11,0,11,14,,0,0,,17,18,0,,60,6262,,,,,,,,,,,,,,,
San Joaquin Valley College-Ontario,California,,,,100,0,0,57,,,,,,,22888,22689,23280,24755,26769,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,5,6,68,1,13,1,6,49,50,67,100,0,45,49,52,50,95,4263,,,,,,,,,,,,,,,
Alaska Christian College,Alaska,6600,5000,,95,5,0,100,,,,,,,5659,3878,8,5780,18121,,,,8614,22794,22794,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,84,0,0,0,1,9,0,1,27,20,100,100,,,,100,,100,18726,,,,,,,,,,,,,,,
University of Arkansas Grantham,Arkansas,,,,8,92,0,86,9546,8811,10815,8731,13611,12851,,,,,,,,,8280,,,"Public, 4-year or above",Four or more years,Public,1,2,34,9,0,43,0,2,25,0,100,100,,19,32,46,,99,5765,,,,,,,,,,,,,,,
Carrington College-Albuquerque,New Mexico,,,,95,5,0,63,,,,,,,35902,37351,42227,42015,42227,42227,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,18,2,2,55,1,15,1,2,57,68,0,0,,33,51,62,100,87,4758,,,,,,,,,,,,,,,
NASCAR Technical Institute,North Carolina,,,,44,56,0,79,,,,,,,22543,22678,23710,25468,27903,28516,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,1,1,16,14,0,57,0,2,50,50,78,71,100,31,53,54,,95,6347,,,,,,,,,,,,,,,
University of the Potomac-VA Campus,Virginia,,,,49,41,0,63,,,,,,,,,,,,,,,6660,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,41,14,2,0,8,33,41,38,,50,50,,0,25,50,100,0,,,,,,,,,,,,,,,,
Milan Institute-Palm Desert,California,,,,99,0,0,70,,,,,,,27576,26836,27211,,,31775,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,1,1,2,84,0,7,0,1,63,,,,,,,,,80,4056,,,,,,,,,,,,,,,
Tohono O'Odham Community College,Arizona,2400,,,80,19,0,35,492,-228,-1490,2473,4137,,,,,,,,,,932,11332,11332,"Public, 2-year",At least 2 but less than 4 years,Public,96,0,0,0,0,2,0,0,5,3,,,,0,0,50,,56,7790,,,,,,,,,,,,,,,
Edward Via College of Osteopathic Medicine,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,19,6,7,0,67,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific College of Health and Science,Illinois,,,,93,7,0,33,,,,,,,22356,24723,,,27442,,,,6900,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,6,11,12,1,32,0,7,57,,,,,,100,40,,43,2719,,,,,,,,,,,,,,,
Southwest Institute of Healing Arts,Arizona,,,,90,10,0,38,,,,,,,52605,53581,55159,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,2,0,12,20,1,51,0,1,60,33,100,100,,58,64,59,,67,3231,,,,,,,,,,,,,,,
InterCoast Colleges-Riverside,California,,,,100,0,0,63,,,,,,,22292,22079,23126,25658,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,2,20,57,0,20,0,2,70,,,,,,,,,72,3552,,,,,,,,,,,,,,,
University of Antelope Valley,California,8200,6976,,84,16,0,65,,,,,,,22349,18083,13696,21122,26517,27867,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,1,2,18,48,1,13,3,3,69,25,80,79,100,64,68,75,67,54,6707,,,,,,,,,,,,,,,
Birthingway College of Midwifery,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
